adjuster_id,skill_business,skill_personal,will_travel,home_city,home_state,home_lat,home_lon,shift_capacity_days
45899542,0,1,True,Saint Paul,MN,44.9497487,-93.0931028,1.0
41040719,0,1,True,Overland Park,KS,38.9742502,-94.6851702,1.0
92150926,0,1,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
44312033,0,3,True,Austin,TX,30.2711286,-97.7436995,1.0
35541067,0,1,True,Naperville,IL,41.7728699,-88.1479278,1.0
26898448,0,1,True,Saint Paul,MN,44.9497487,-93.0931028,1.0
95170993,0,2,True,Saint Paul,MN,44.9497487,-93.0931028,1.0
25807176,0,1,True,Overland Park,KS,38.9742502,-94.6851702,1.0
73124359,0,1,True,Omaha,NE,41.2587459,-95.9383758,1.0
76537144,0,2,True,Houston,TX,29.7589382,-95.3676974,1.0
75100794,0,1,True,Overland Park,KS,38.9742502,-94.6851702,1.0
64042219,3,3,True,Indianapolis,IN,39.7683331,-86.1583502,1.0
89172774,1,3,True,Exton,PA,40.0299755,-75.6290436,1.0
45488039,1,3,True,Hunt Valley,MD,39.4962709,-76.6542571,1.0
97697276,0,3,True,Chantilly,VA,38.885219,-77.4486772,1.0
34685362,1,3,True,Wyomissing,PA,40.329537,-75.9652117,1.0
30017739,0,2,True,Walnut Creek,CA,37.9020731,-122.0618702,1.0
83759331,1,3,True,Melville,LA,30.6929653,-91.744004,1.0
17756848,0,2,True,Austin,TX,30.2711286,-97.7436995,1.0
36499460,0,1,True,Salt Lake City,UT,40.7596198,-111.886797,1.0
12822897,0,1,True,Portland,OR,45.5202471,-122.674194,1.0
58463786,1,1,True,Phoenix,AZ,33.4484367,-112.074141,1.0
74145812,1,3,True,Philadelphia,PA,39.9527237,-75.1635262,1.0
67110545,1,3,True,Hunt Valley,MD,39.4962709,-76.6542571,1.0
13291327,1,3,True,San Diego,CA,32.7174202,-117.162772,1.0
73475111,0,2,True,Little Rock,AR,34.7465071,-92.2896267,1.0
61282745,0,2,True,Phoenix,AZ,33.4484367,-112.074141,1.0
17995646,0,2,True,Little Rock,AR,34.7465071,-92.2896267,1.0
36754354,1,3,True,Glendale,AZ,33.5386858,-112.185994,1.0
76882374,1,3,True,Marlton,NJ,39.9005585,-74.9338911,1.0
52900724,1,3,True,White Plains,NY,41.0339862,-73.7629097,1.0
36144326,0,2,True,Austin,TX,30.2711286,-97.7436995,1.0
51795914,1,2,True,Oklahoma City,OK,35.4729886,-97.5170536,1.0
59234276,0,2,True,Austin,TX,30.2711286,-97.7436995,1.0
72430057,0,3,True,Raleigh,NC,35.7803977,-78.6390989,1.0
68056990,0,3,True,Hartford,CT,41.764582,-72.6908547,1.0
26249582,1,3,True,Philadelphia,PA,39.9527237,-75.1635262,1.0
85893734,4,4,True,Centennial,CO,39.579155,-104.8769227,1.0
23354345,3,3,True,Centennial,CO,39.579155,-104.8769227,1.0
52472655,1,3,True,Hunt Valley,MD,39.4962709,-76.6542571,1.0
33460718,0,2,True,Overland Park,KS,38.9742502,-94.6851702,1.0
13919972,0,2,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
50686141,0,2,True,Overland Park,KS,38.9742502,-94.6851702,1.0
48193247,1,1,True,Richmond,VA,37.5385087,-77.43428,1.0
80241609,3,3,True,Glendale,AZ,33.5386858,-112.185994,1.0
87478824,1,2,True,San Antonio,TX,29.4246002,-98.4951405,1.0
52527100,1,2,True,Austin,TX,30.2711286,-97.7436995,1.0
39377810,0,2,True,Austin,TX,30.2711286,-97.7436995,1.0
80214506,0,3,True,Chantilly,VA,38.885219,-77.4486772,1.0
55528593,1,2,True,Rancho Cordova,CA,38.5890723,-121.302728,1.0
80995603,0,2,True,West Des Moines,IA,41.5644476,-93.7594059,1.0
19851071,2,3,True,Richmond,VA,37.5385087,-77.43428,1.0
53633617,2,3,True,Richmond,VA,37.5385087,-77.43428,1.0
32563086,1,3,True,Edison,GA,31.5581741,-84.7381045,1.0
46820756,0,2,True,Phoenix,AZ,33.4484367,-112.074141,1.0
13613144,0,2,True,Phoenix,AZ,33.4484367,-112.074141,1.0
56553565,0,2,True,Phoenix,AZ,33.4484367,-112.074141,1.0
97732442,1,1,True,West Bridgewater,MA,42.0190922,-71.0079688,1.0
88178386,0,3,True,South Portland,ME,43.6382443,-70.2529189,1.0
52633927,1,3,True,Pittsburgh,PA,40.4406968,-80.0025666,1.0
63163734,0,2,True,Walnut Creek,CA,37.9020731,-122.0618702,1.0
16559402,0,3,True,Raleigh,NC,35.7803977,-78.6390989,1.0
99044234,0,2,True,Las Vegas,NV,36.1674263,-115.1484131,1.0
65441680,0,3,True,Chantilly,VA,38.885219,-77.4486772,1.0
12777663,0,2,True,Saint Paul,MN,44.9497487,-93.0931028,1.0
40393820,0,2,True,Las Vegas,NV,36.1674263,-115.1484131,1.0
57500632,1,3,True,New York,NY,40.7127281,-74.0060152,1.0
83489762,1,3,True,New York,NY,40.7127281,-74.0060152,1.0
67270475,0,3,True,Centennial,CO,39.579155,-104.8769227,1.0
36555833,0,3,True,Indianapolis,IN,39.7683331,-86.1583502,1.0
14343602,0,3,True,Naperville,IL,41.7728699,-88.1479278,1.0
93264573,1,3,True,Austin,TX,30.2711286,-97.7436995,1.0
99009880,1,3,False,Orange,CA,33.750631,-117.8722311,1.0
73706546,1,3,True,Diamond Bar,CA,34.0286226,-117.8103367,1.0
18768735,0,3,True,Chantilly,VA,38.885219,-77.4486772,1.0
54577283,0,3,True,Chantilly,VA,38.885219,-77.4486772,1.0
55604019,0,3,True,Chantilly,VA,38.885219,-77.4486772,1.0
78236485,0,2,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
38041560,0,2,True,Fresno,CA,36.7394421,-119.78483,1.0
76387474,0,2,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
50787000,1,2,True,Overland Park,KS,38.9742502,-94.6851702,1.0
12253904,1,3,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
63350081,1,3,True,Blue Bell,PA,40.147809,-75.272781,1.0
26038140,1,3,True,Orange,CA,33.750631,-117.8722311,1.0
50146144,0,2,True,Richardson,TX,32.9481789,-96.7297206,1.0
88499296,0,3,True,Richmond,VA,37.5385087,-77.43428,1.0
67493721,0,2,True,Federal Way,WA,47.313494,-122.33931,1.0
45999943,0,2,True,Phoenix,AZ,33.4484367,-112.074141,1.0
85652856,0,3,True,Naperville,IL,41.7728699,-88.1479278,1.0
35765505,0,3,True,Chantilly,VA,38.885219,-77.4486772,1.0
42666259,3,3,True,San Diego,CA,32.7174202,-117.162772,1.0
57059901,0,3,True,Virtual,SC,34.1718723,-82.1564776,1.0
39441991,2,3,True,Naperville,IL,41.7728699,-88.1479278,1.0
63992202,0,2,True,Las Vegas,NV,36.1674263,-115.1484131,1.0
31812654,0,2,True,Fresno,CA,36.7394421,-119.78483,1.0
25027882,0,2,True,Saint Paul,MN,44.9497487,-93.0931028,1.0
37752176,0,2,True,Brookfield,WI,43.0615578,-88.1260678,1.0
14230570,0,2,True,Overland Park,KS,38.9742502,-94.6851702,1.0
24124185,0,3,True,West Des Moines,IA,41.5644476,-93.7594059,1.0
64978459,1,3,True,Edison,GA,31.5581741,-84.7381045,1.0
67242784,2,2,True,Boise,ID,43.6166163,-116.200886,1.0
94476647,1,3,True,Irvine,CA,33.6856969,-117.825981,1.0
36032353,1,3,True,West Bridgewater,MA,42.0190922,-71.0079688,1.0
76518510,0,3,True,Hudson,WI,44.9750953,-92.7554671,1.0
99707772,0,2,True,Spokane,WA,47.6571934,-117.42351,1.0
59349061,0,2,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
29643423,0,2,True,Houston,TX,29.7589382,-95.3676974,1.0
58863024,3,3,True,Virtual,SC,34.1718723,-82.1564776,1.0
91053715,2,3,True,Virtual,ND,40.3101571,-75.1309013,1.0
79991846,3,3,True,Glendale,AZ,33.5386858,-112.185994,1.0
94472986,2,4,True,Overland Park,KS,38.9742502,-94.6851702,1.0
81708306,0,2,True,Las Vegas,NV,36.1674263,-115.1484131,1.0
25126681,1,3,True,Wyomissing,PA,40.329537,-75.9652117,1.0
92290974,0,3,True,Naperville,IL,41.7728699,-88.1479278,1.0
92253396,3,3,True,Troy,MI,42.6055893,-83.1499304,1.0
62429509,0,3,True,Naperville,IL,41.7728699,-88.1479278,1.0
57762782,3,3,True,Virtual,DE,39.6064257,-75.7126625,1.0
37711634,0,3,True,Durham,NC,35.996653,-78.9018053,1.0
23292186,1,3,True,Morristown,TN,36.2139814,-83.2948923,1.0
44138074,0,3,True,Virtual,SC,34.1718723,-82.1564776,1.0
34806218,0,3,True,Virtual,SC,34.1718723,-82.1564776,1.0
37772474,3,3,True,Troy,MI,42.6055893,-83.1499304,1.0
22709943,0,2,True,Omaha,NE,41.2587459,-95.9383758,1.0
31387287,0,3,True,Houston,TX,29.7589382,-95.3676974,1.0
91763247,1,3,True,Edison,GA,31.5581741,-84.7381045,1.0
25867807,0,2,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
36337028,0,2,True,Las Vegas,NV,36.1674263,-115.1484131,1.0
12374236,2,3,True,Brookfield,WI,43.0615578,-88.1260678,1.0
99789289,3,3,True,Diamond Bar,CA,34.0286226,-117.8103367,1.0
22143269,2,4,True,Brookfield,WI,43.0615578,-88.1260678,1.0
90086018,2,3,True,Naperville,IL,41.7728699,-88.1479278,1.0
31023584,1,3,True,Naperville,IL,41.7728699,-88.1479278,1.0
68880297,0,2,True,Little Rock,AR,34.7465071,-92.2896267,1.0
51795851,0,3,True,Chantilly,VA,38.885219,-77.4486772,1.0
26083094,0,2,True,Overland Park,KS,38.9742502,-94.6851702,1.0
19528221,3,3,True,Glendale,AZ,33.5386858,-112.185994,1.0
89109590,1,3,True,San Diego,CA,32.7174202,-117.162772,1.0
87452053,0,2,True,Phoenix,AZ,33.4484367,-112.074141,1.0
36354630,0,2,True,Centennial,CO,39.579155,-104.8769227,1.0
75206030,0,2,True,Phoenix,AZ,33.4484367,-112.074141,1.0
91571022,0,2,True,Centennial,CO,39.579155,-104.8769227,1.0
62608676,2,3,True,Naperville,IL,41.7728699,-88.1479278,1.0
58501059,1,3,True,Naperville,IL,41.7728699,-88.1479278,1.0
95305279,0,2,True,Austin,TX,30.2711286,-97.7436995,1.0
39167323,0,2,True,Austin,TX,30.2711286,-97.7436995,1.0
21174128,0,3,True,Hartford,CT,41.764582,-72.6908547,1.0
78272027,2,4,True,Overland Park,KS,38.9742502,-94.6851702,1.0
92242535,1,2,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
91729356,0,3,True,Little Rock,AR,34.7465071,-92.2896267,1.0
93937100,0,2,True,Houston,TX,29.7589382,-95.3676974,1.0
81935700,0,2,True,Phoenix,AZ,33.4484367,-112.074141,1.0
41733549,0,2,True,Phoenix,AZ,33.4484367,-112.074141,1.0
82035291,0,2,True,Albuquerque,NM,35.0841034,-106.650985,1.0
83334524,1,3,True,Phoenix,AZ,33.4484367,-112.074141,1.0
47126699,0,2,True,Phoenix,AZ,33.4484367,-112.074141,1.0
56681622,0,2,True,Centennial,CO,39.579155,-104.8769227,1.0
59743825,0,2,True,Portland,OR,45.5202471,-122.674194,1.0
66183397,0,2,True,Federal Way,WA,47.313494,-122.33931,1.0
21303389,0,2,True,Hartford,CT,41.764582,-72.6908547,1.0
23489312,0,2,True,Fresno,CA,36.7394421,-119.78483,1.0
36736849,0,2,True,Houston,TX,29.7589382,-95.3676974,1.0
29036599,0,3,True,Rosedale,MS,33.8551004,-91.0266112,1.0
65398923,1,3,True,Windsor,CA,38.5471327,-122.8163802,1.0
60189884,0,3,True,Virtual,SC,34.1718723,-82.1564776,1.0
45565738,0,2,True,Little Rock,AR,34.7465071,-92.2896267,1.0
80686149,0,2,True,Houston,TX,29.7589382,-95.3676974,1.0
23010932,0,2,True,Oklahoma City,OK,35.4729886,-97.5170536,1.0
96419100,3,3,True,Flowood,MS,32.3092861,-90.1386811,1.0
37132929,0,3,True,Bedford,TX,32.844017,-97.1430671,1.0
25467506,1,3,True,Wyomissing,PA,40.329537,-75.9652117,1.0
23550443,1,3,True,Overland Park,KS,38.9742502,-94.6851702,1.0
27229613,2,2,True,Diamond Bar,CA,34.0286226,-117.8103367,1.0
94723452,1,3,True,Edison,GA,31.5581741,-84.7381045,1.0
67951769,0,2,True,Saint Paul,MN,44.9497487,-93.0931028,1.0
70868404,0,2,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
74034223,0,3,True,Chantilly,VA,38.885219,-77.4486772,1.0
51165957,0,3,True,Charlotte,NC,35.2272086,-80.8430827,1.0
27333764,0,2,True,Las Vegas,NV,36.1674263,-115.1484131,1.0
18441771,2,2,True,Walnut Creek,CA,37.9020731,-122.0618702,1.0
89356538,0,3,True,Indianapolis,IN,39.7683331,-86.1583502,1.0
32263233,0,2,True,Overland Park,KS,38.9742502,-94.6851702,1.0
23080959,1,2,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
80557167,0,2,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
43599269,0,2,True,Houston,TX,29.7589382,-95.3676974,1.0
52428575,0,2,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
42158701,0,2,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
23437623,1,3,True,Morristown,TN,36.2139814,-83.2948923,1.0
36311980,0,2,True,Omaha,NE,41.2587459,-95.9383758,1.0
24840153,0,2,True,Walnut Creek,CA,37.9020731,-122.0618702,1.0
71004022,1,3,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
30471976,2,2,True,Salt Lake City,UT,40.7596198,-111.886797,1.0
68281309,0,2,True,Little Rock,AR,34.7465071,-92.2896267,1.0
50317203,0,2,True,San Antonio,TX,29.4246002,-98.4951405,1.0
98840876,0,2,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
13366971,0,2,True,Albuquerque,NM,35.0841034,-106.650985,1.0
59519472,0,2,True,Centennial,CO,39.579155,-104.8769227,1.0
14249434,0,2,True,Centennial,CO,39.579155,-104.8769227,1.0
61098896,0,2,True,Centennial,CO,39.579155,-104.8769227,1.0
94608841,0,2,True,Centennial,CO,39.579155,-104.8769227,1.0
28281275,1,3,True,Syracuse,NY,43.0481221,-76.1474244,1.0
49914236,3,3,True,Virtual,SC,34.1718723,-82.1564776,1.0
66585273,2,3,True,Hartford,CT,41.764582,-72.6908547,1.0
95568826,1,3,True,Overland Park,KS,38.9742502,-94.6851702,1.0
26930816,1,1,True,Richardson,TX,32.9481789,-96.7297206,1.0
74703479,3,3,True,Knoxville,TN,35.9603948,-83.9210261,1.0
84017238,5,5,True,Rochester,NY,43.157285,-77.615214,1.0
48326765,1,3,True,Rochester,NY,43.157285,-77.615214,1.0
68180881,1,3,True,White Plains,NY,41.0339862,-73.7629097,1.0
59430808,2,4,True,Albany,NY,42.6511674,-73.754968,1.0
30721082,5,5,True,Richardson,TX,32.9481789,-96.7297206,1.0
49884508,3,3,True,Richardson,TX,32.9481789,-96.7297206,1.0
25632020,3,3,True,New York,NY,40.7127281,-74.0060152,1.0
68461759,1,3,True,Providence,RI,41.8239891,-71.4128343,1.0
52709157,0,2,True,Richardson,TX,32.9481789,-96.7297206,1.0
95911224,0,1,True,Orlando,FL,28.5421218,-81.379045,1.0
31104564,3,4,True,Alpharetta,GA,34.0755962,-84.2945964,1.0
73967237,1,1,True,Franklin,TN,35.925206,-86.8689419,1.0
10571349,1,3,False,Charlotte,NC,35.2272086,-80.8430827,1.0
63220428,1,1,True,Indianapolis,IN,39.7683331,-86.1583502,1.0
69379844,5,5,True,Chantilly,VA,38.885219,-77.4486772,1.0
22286102,5,5,True,Melville,LA,30.6929653,-91.744004,1.0
90334978,3,4,True,Franklin,TN,35.925206,-86.8689419,1.0
96146877,1,1,True,Richardson,TX,32.9481789,-96.7297206,1.0
66643743,3,5,True,Chantilly,VA,38.885219,-77.4486772,1.0
37113544,3,4,True,Overland Park,KS,38.9742502,-94.6851702,1.0
54636222,3,4,True,Orlando,FL,28.5421218,-81.379045,1.0
17638931,3,2,False,Albany,NY,42.6511674,-73.754968,1.0
17716919,1,3,True,Morristown,TN,36.2139814,-83.2948923,1.0
77028593,3,3,True,Chantilly,VA,38.885219,-77.4486772,1.0
27736764,2,3,True,Morristown,TN,36.2139814,-83.2948923,1.0
50212593,3,3,True,Melville,LA,30.6929653,-91.744004,1.0
68562084,5,5,False,Melville,LA,30.6929653,-91.744004,1.0
57398549,1,1,True,Indianapolis,IN,39.7683331,-86.1583502,1.0
96399702,4,4,True,Richmond,VA,37.5385087,-77.43428,1.0
63175059,5,5,True,Naperville,IL,41.7728699,-88.1479278,1.0
39267987,1,4,True,Tampa,FL,27.9449854,-82.4583107,1.0
24186729,5,5,True,Richmond,VA,37.5385087,-77.43428,1.0
95771836,5,5,True,Rochester,NY,43.157285,-77.615214,1.0
88856717,3,4,True,Charlotte,NC,35.2272086,-80.8430827,1.0
99766264,3,4,True,Maryland Heights,MO,38.7150511,-90.435999,1.0
63418508,5,5,True,Melville,LA,30.6929653,-91.744004,1.0
86737218,3,3,True,Richardson,TX,32.9481789,-96.7297206,1.0
33522459,4,4,True,Knoxville,TN,35.9603948,-83.9210261,1.0
44538039,5,5,True,Hamden,OH,39.1597938,-82.5268259,1.0
70853633,4,5,True,Saint Paul,MN,44.9497487,-93.0931028,1.0
28016712,3,3,True,Independence,MO,39.0924792,-94.4137923,1.0
26862623,5,5,True,Overland Park,KS,38.9742502,-94.6851702,1.0
80562084,3,3,True,Franklin,TN,35.925206,-86.8689419,1.0
94671385,3,4,True,Birmingham,AL,33.5206824,-86.8024326,1.0
17897712,4,4,True,Richmond,VA,37.5385087,-77.43428,1.0
49477688,1,3,True,Melville,LA,30.6929653,-91.744004,1.0
99432457,1,3,True,New York,NY,40.7127281,-74.0060152,1.0
36916937,5,5,True,New York,NY,40.7127281,-74.0060152,1.0
34551595,1,1,False,Buffalo,NY,42.8864163,-78.8781493,1.0
53820765,5,5,True,Buffalo,NY,42.8864163,-78.8781493,1.0
79478179,3,5,True,Indianapolis,IN,39.7683331,-86.1583502,1.0
27169887,1,1,True,Saint Paul,MN,44.9497487,-93.0931028,1.0
43572271,3,3,True,Franklin,TN,35.925206,-86.8689419,1.0
75230596,1,1,True,Richardson,TX,32.9481789,-96.7297206,1.0
